name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,category,location,source_file
Kirurgjia estetike italiane Prishtine - DaVINCI,"Jusuf Gervalla, Lagja, Prishtinë 10000",http://www.davinci.al/,,173.0,4.9,42.6494541,21.1507998,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Miliona Aesthetic,"Rruga B, Prishtinë 10000",http://miliona.com/,+383 44 911 222,84.0,4.6,42.6550665,21.1782976,dermatologist,Albania,dermatologist_in_Albania.csv
Miliona Aesthetic,"Rruga B, Prishtinë 10000",http://miliona.com/,+383 44 911 222,84.0,4.6,42.6550665,21.1782976,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
"Ordinanca ""Pro-Derm""","Rruga B, Prishtinë 10000",,+383 44 238 745,99.0,4.9,42.649209,21.1734649,dermatologist,Albania,dermatologist_in_Albania.csv
"Ordinanca ""Pro-Derm""","Rruga B, Prishtinë 10000",,+383 44 238 745,99.0,4.9,42.649209,21.1734649,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Ordinanca për sëmundje të lëkurës Dr Arsim Riza “Leta”,"114 Deshmoret e Lirise, Gjakova 50000",,+383 44 247 327,1.0,5.0,42.3705377,20.4305078,dermatologist,Albania,dermatologist_in_Albania.csv
Ordinanca për sëmundje të lëkurës Dr Arsim Riza “Leta”,"114 Deshmoret e Lirise, Gjakova 50000",,+383 44 247 327,1.0,5.0,42.3705377,20.4305078,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Rare Clinic Aesthetic,"Nënë Tereza, Fushë-Kosovë 12000",,+383 48 511 955,18.0,5.0,42.6422579,21.1099006,dermatologist,Albania,dermatologist_in_Albania.csv
Rare Clinic Aesthetic,"Nënë Tereza, Fushë-Kosovë 12000",,+383 48 511 955,18.0,5.0,42.6422579,21.1099006,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Shpresa Derm,"Fatos Limani, Prishtina 10000",https://www.instagram.com/shpresaderm?igsh=NWNhbDYza2gwYW85,+383 44 159 405,20.0,5.0,42.6474817,21.1709469,dermatologist,Albania,dermatologist_in_Albania.csv
Shpresa Derm,"Fatos Limani, Prishtina 10000",https://www.instagram.com/shpresaderm?igsh=NWNhbDYza2gwYW85,+383 44 159 405,20.0,5.0,42.6474817,21.1709469,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
TITI HAIR CLINIC,"Sllatine e madhe, Fushe",,+383 49 337 300,,,42.5986532,21.0210462,dermatologist,Albania,dermatologist_in_Albania.csv
TITI HAIR CLINIC,"Sllatine e madhe, Fushe",,+383 49 337 300,,,42.5986532,21.0210462,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
TrueLife Clinic,"Rruga B, Prishtinë 10000",,+383 48 811 555,21.0,5.0,42.6496501,21.1738625,dermatologist,Albania,dermatologist_in_Albania.csv
TrueLife Clinic,"Rruga B, Prishtinë 10000",,+383 48 811 555,21.0,5.0,42.6496501,21.1738625,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
estethica,"30 Rrugë Nekibe Kelmendi, Prishtinë 10000",http://www.estethica-ks.com/,+383 49 660 660,1206.0,5.0,42.6299485,21.1608969,dermatologist,Albania,dermatologist_in_Albania.csv
estethica,"30 Rrugë Nekibe Kelmendi, Prishtinë 10000",http://www.estethica-ks.com/,+383 49 660 660,1206.0,5.0,42.6299485,21.1608969,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
iDerm,"65 Azem Bejta, Prizren 20000",https://www.facebook.com/idermpz,+383 44 515 105,9.0,3.8,42.2135357,20.7322064,dermatologist,Albania,dermatologist_in_Albania.csv
iDerm,"65 Azem Bejta, Prizren 20000",https://www.facebook.com/idermpz,+383 44 515 105,9.0,3.8,42.2135357,20.7322064,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
Éclat - Aesthetic Clinic,"Jakov Xoxa, Prishtinë 10000",,+383 49 757 888,19.0,4.8,42.6470239,21.1722713,dermatologist,Albania,dermatologist_in_Albania.csv
Éclat - Aesthetic Clinic,"Jakov Xoxa, Prishtinë 10000",,+383 49 757 888,19.0,4.8,42.6470239,21.1722713,dermatologist,Kosovo,dermatologist_in_Kosovo.csv
