name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,category,location
Prof. Dr. Başak Kandi / Tirana,"Rr. e Kavajes, Kompleksi SQUARE 21, Kulla 1, Kati 2, Apartamenti 21, Tiranë, Albania",,+355 67 737 4555,22.0,5.0,41.3232496,19.7979839,dermatologist,Albania
"Dr. Irena Savo Jorgaqi - Dermatologe, Specialiste e Mjekesise Estetike","kati 4, Rruga e Kosovareve, Pallati Dolcka, hyrja 1, Tiranë, Albania",,+355 69 202 2386,3.0,3.7,41.3139464,19.8136567,dermatologist,Albania
Klinika Grande,"Square 21, Rruga e Kavajës, Tiranë 1060, Albania",,+355 68 688 8886,223.0,4.8,41.3233062,19.7992632,dermatologist,Albania
ALBGTC Med,"Rruga e Barrikadave, Tiranë 1005, Albania",https://albgtc.com/,+355 69 704 4002,85.0,5.0,41.3316899,19.8204078,dermatologist,Albania
Derma Aesthetic Center by Ndricimi-RM,"Rruga Çameria Nr:6 Rru, Pejë 30000",,+383 48 222 977,4.0,5.0,42.6621038,20.2877494,dermatologist,Albania
Anassa Bllok,"Rruga Ibrahim Rugova, Tiranë 1001, Albania",https://anassa.al/,+355 69 804 5400,49.0,4.7,41.3176778,19.818953,dermatologist,Albania
DermaCare,"14 Ukë Bytyqi, Prishtina 10000",http://www.dermacareks.com/,+383 44 761 000,52.0,4.5,42.6552983,21.1658724,dermatologist,Albania
Este Medical Group Albania,"Kavaja St, Tiranë 1060, Albania",https://estemedicalgroup.al/,+355 69 277 7760,116.0,4.8,41.3267992,19.8062201,dermatologist,Albania
Art DermaMed A&S,"Rruga Antipatrea, Berat 5002, Albania",,+355 69 208 3559,18.0,4.8,40.7047556,19.9527594,dermatologist,Albania
Hair Solution Clinic Albania,"Garden Building, Kavaja St, Tiranë 1001, Albania",https://hairsolutionclinic.com/,+355 69 280 0492,596.0,5.0,41.3266624,19.8058766,dermatologist,Albania
Advanced Hair Transplant Clinic,"Kompleksi Halili, Rruga e Dibrës, Tiranë 1001, Albania",http://www.advancedfueclinic.com/,+355 68 222 2456,632.0,4.9,41.3346903,19.8238754,dermatologist,Albania
Klinika Vivia - Klinikë Dermo Estetike,"Rruga 3 Deshmoret, Tiranë, Albania",http://klinikavivia.com/,+355 69 607 5599,86.0,4.4,41.3208541,19.7838398,dermatologist,Albania
Klinike Dermo-Estetike SkinDerm Durres,"Pallati EGT, Sheshi 'Liria nr 3, Durrës 2000, Albania",,+355 68 550 0967,4.0,5.0,41.3131884,19.4464549,dermatologist,Albania
Klinika Skin Blossom,"Rruga Sami Frashëri 44, Tiranë, Albania",,,14.0,3.9,41.3165822,19.8147987,dermatologist,Albania
Anassa,"Mbikalimi i Kamzës, Tiranë 1051, Albania",http://anassa.al/,+355 69 700 6161,168.0,4.7,41.3446837,19.7743686,dermatologist,Albania
Klinika Demiraj,"Rruga Ramazan Jella, Durrës, Albania",,+355 69 212 7175,38.0,4.7,41.3133329,19.448408,dermatologist,Albania
Helen's Bio Line,"8RJQ+39F, Tiranë, Albania",https://www.helensbioline.com/,,12.0,4.7,41.3299399,19.8381265,dermatologist,Albania
American Beauty Clinic,"Agi Kos, Nr c2, Objekti 3, Rruga Vicianum, lokali4.1 2, Prishtinë 10000",https://americanbeautyclinic.com/,+383 48 596 596,10.0,5.0,42.6605313,21.1509951,dermatologist,Albania
Anaderm Aesthetic Surgery Hospital,"Prishtinë , Kosovo, Street Zef Jubani, Prishtina 10000",https://www.klinikaanaderm.com/,+383 45 707 744,73.0,4.8,42.631382,21.1484613,dermatologist,Albania
Mockingbird Clinic,"Rruga Antipatrea, Berat 5001, Albania",,+355 68 200 9431,9.0,5.0,40.7006074,19.9700307,dermatologist,Albania
Kirurgjia estetike italiane Prishtine - DaVINCI,"Jusuf Gervalla, Lagja, Prishtinë 10000",http://www.davinci.al/,,173.0,4.9,42.6494541,21.1507998,dermatologist,Albania
Doctors' Hospital Albania,"Rruga Pjetër Bogdani 1001, Tiranë, Albania",http://www.doctorshospital.al/,+355 67 208 4030,123.0,4.6,41.3211188,19.8144922,dermatologist,Albania
Klinika Dermalight,"Rruga Daut Borici, Shkodër, Albania",,+355 67 202 3846,7.0,4.4,42.0618329,19.5114784,dermatologist,Albania
Eden Laser,"Rruga Sami Frashëri, Tiranë, Albania",https://edenlaser.al/,+355 68 605 5007,97.0,4.7,41.3134938,19.8154915,dermatologist,Albania
Clinique Cinq Tirana,"Kompleksi Delijorgji, Kavaja St, Tiranë, Albania",http://www.cliniquecinq.al/,+355 69 205 0530,34.0,4.0,41.3217699,19.793808,dermatologist,Albania
ProDerma Clinic,"Shkalla B, Kati 2, Rruga e Kosovarëve, Kompleksi Lake View, Tiranë 1001, Albania",,+355 68 604 4704,,,41.3145154,19.8122876,dermatologist,Albania
Klinikë Dermo-Estetike Nur,"8RC4+Q3H, Bulevardi Gjergj Fishta, Tiranë, Albania",,,3.0,5.0,41.321943,19.8052316,dermatologist,Albania
Luxe Skin Clinic,"Rruga Ukraina e Lirë, Tiranë 1001, Albania",,+355 69 388 9804,27.0,,41.3224881,19.8187338,dermatologist,Albania
Biotech Clinic,"Rruga Bardhok Biba, Tiranë 1001, Albania",,+355 69 220 3312,1.0,5.0,41.3318067,19.8189087,dermatologist,Albania
Dermaluxe Clinic Tirana,"Kompleksi Delijorgji, Kavaja St, Tiranë, Albania",https://dermaluxe.al/,+355 69 767 2277,46.0,4.9,41.3231044,19.7953891,dermatologist,Albania
Éclat - Aesthetic Clinic,"Jakov Xoxa, Prishtinë 10000",,+383 49 757 888,19.0,4.8,42.6470239,21.1722713,dermatologist,Albania
estethica,"30 Rrugë Nekibe Kelmendi, Prishtinë 10000",http://www.estethica-ks.com/,+383 49 660 660,1206.0,5.0,42.6299485,21.1608969,dermatologist,Albania
SkinMed Albania,"PRANE ISH UET, RRUGA ""SALI BUTKA"", GODINA 2, KATI 1, APARTAMENTI NR.3, Tiranë 1001, Albania",,+355 69 995 7773,12.0,4.7,41.3226518,19.8016333,dermatologist,Albania
Dermatovenerolog Mujadin Tërshnjaku(Estetika),"Rr William Walker, Prizren 20000",,+383 44 315 413,2.0,5.0,42.2079321,20.7246258,dermatologist,Albania
Derma Pure,"Wesley Clark, Pejë 30000",https://www.facebook.com/dermapure.clinicks,+383 49 164 343,30.0,4.9,42.6610654,20.2808265,dermatologist,Albania
Doctor Bler,"Rruga Pandeli Qyrana, Fier 9301, Albania",https://dermaluxe.al/,+355 69 995 2881,1.0,5.0,40.7302188,19.5644819,dermatologist,Albania
Klinika Gentiana Grelorgen,"Rruga Lule Bore, Durrës, Albania",,+355 69 668 8226,2.0,5.0,41.306493,19.489937,dermatologist,Albania
Klinika Dermastyle,"Rruga e Bogdanëve 9, Tiranë 1000, Albania",,+355 69 255 2258,2.0,5.0,41.3294984,19.809765,dermatologist,Albania
ART LASER Clinic,"Rruga: Andon Zako Çajupi, Bld.3 Ap.10, Tiranë 1016, Albania",,+355 68 407 3733,7.0,4.3,41.319609,19.8128845,dermatologist,Albania
Alpha Medical Clinic,"Alpha Medical Clinic, Rruga Kongresi i Manastirit, Pallati ASL, Kati 2, Tiranë 1025, Albania",,+355 68 209 3251,16.0,3.8,41.3404541,19.8391298,dermatologist,Albania
Derma Center by Healthcare Project,"Metro"", te ish-vila Ferdinand, Rruga ""Nikolla Tupe"", Bllok Ngjitur me hotel, Tiranë 1001, Albania",,+355 68 679 0541,26.0,5.0,41.3198513,19.8180241,dermatologist,Albania
Medam Clinic,"Rruga Donika Kastrioti, Tiranë 1001, Albania",,+355 69 266 2336,8.0,5.0,41.3210129,19.8193255,dermatologist,Albania
Klinika Gjermane Dermoestetike,"Rruga Don Bosko, Tiranë, Albania",,+355 68 474 5465,19.0,5.0,41.3416041,19.7961072,dermatologist,Albania
Le Rêve Clinique,"8RC9+47W, Tiranë, Albania",,,7.0,,41.3202408,19.8182326,dermatologist,Albania
Fiziomed,"Nysret Seharsoj, Prizren 20000",http://www.fiziomed.com/,+383 44 366 009,16.0,4.8,42.2058716,20.7318058,dermatologist,Albania
Wellness Medical Services Albania,"Durrës, Albania",,+355 69 446 6774,108.0,5.0,41.3144373,19.4749445,dermatologist,Albania
Miliona Aesthetic,"Rruga B, Prishtinë 10000",http://miliona.com/,+383 44 911 222,84.0,4.6,42.6550665,21.1782976,dermatologist,Albania
International Hair Clinic - Hair Transplant - Eyebrow Transplant,"Bulevardi Gjergj Fishta 146, Tiranë 1001, Albania",https://internationalhairclinic.com/,+355 68 806 0800,146.0,4.9,41.3210239,19.7948648,dermatologist,Albania
iDerm,"65 Azem Bejta, Prizren 20000",https://www.facebook.com/idermpz,+383 44 515 105,9.0,3.8,42.2135357,20.7322064,dermatologist,Albania
Rare Clinic Aesthetic,"Nënë Tereza, Fushë-Kosovë 12000",,+383 48 511 955,18.0,5.0,42.6422579,21.1099006,dermatologist,Albania
Ordinanca për sëmundje të lëkurës Dr Arsim Riza “Leta”,"114 Deshmoret e Lirise, Gjakova 50000",,+383 44 247 327,1.0,5.0,42.3705377,20.4305078,dermatologist,Albania
Doc Derma Clinic,"Rruga Vaso Pasha, Tiranë, Albania",,,,,41.3225877,19.8156566,dermatologist,Albania
Qendër Dermo-Estetike Albana Dyli,"Rruga Kostaq Koxhaku, Berat 5001, Albania",,+355 69 253 6295,18.0,,40.7017696,19.9600032,dermatologist,Albania
Viso Aesthetics Albania,"Rruga Asim Zeneli, Tiranë 1001, Albania",https://viso.al/,+355 69 702 0929,60.0,5.0,41.3202775,19.8247856,dermatologist,Albania
TrueLife Clinic,"Rruga B, Prishtinë 10000",,+383 48 811 555,21.0,5.0,42.6496501,21.1738625,dermatologist,Albania
Dr. Cen Morina,"Kaçaniku 51, Prizren 20000",,+383 44 126 788,2.0,5.0,42.2079482,20.7305291,dermatologist,Albania
Elio Medical Clinic,"Rruga Xhanfize Keko, Tiranë 1001, Albania",https://eliomedical.al/,+355 69 606 6960,15.0,5.0,41.3404591,19.8437274,dermatologist,Albania
Vertigo & ORL Clinic. Dr Evis Bendo,"B, kati II, Kongresi i Manastirit, rezidenca ZIRKON, shkalla, Tiranë 1001, Albania",,+355 69 208 7471,63.0,4.9,41.3395947,19.8377845,dermatologist,Albania
Inner Beauty,"Bulevardi Gjergj Fishta 52, Tiranë 1023, Albania",https://innerbeauty.al/,+355 69 402 2208,39.0,5.0,41.3222194,19.8038813,dermatologist,Albania
TITI HAIR CLINIC,"Sllatine e madhe, Fushe",,+383 49 337 300,,,42.5986532,21.0210462,dermatologist,Albania
